,duration,title,url,username,views
43,12:19.,Making ART with a GIANT PENCIL!,https://www.youtube.com/watch?v=ucF6Qxpn_0A,Draw with Jazza,"349,728"
44,3:18.,Passenger | Heart To Love (Official Video),https://www.youtube.com/watch?v=8mnDBXSKAbs,Passenger,"176,648"
45,10:20.,Is Ron Weasley Completely and Utterly Pointless?,https://www.youtube.com/watch?v=H0ZN54zWRPE,SuperCarlinBrothers,"301,815"
46,5:37.,Lemonade Lad,https://www.youtube.com/watch?v=FpZBSrosoeU,shgurr,"978,228"
47,6:31.,I'm Still in Swimming Lessons? | Hannah Stocking,https://www.youtube.com/watch?v=Rz25tn4hPik,Hannah Stocking,"2,982,320"
48,5:29.,Best Friend's Sister | Anwar Jibawi,https://www.youtube.com/watch?v=JcIHs0nnXsQ,Anwar Jibawi,"1,606,087"
49,12:07.,Kylie Jenner Asks Travis Scott 23 Questions | GQ,https://www.youtube.com/watch?v=q3iXrayrsHk,GQ,"20,975,739"
50,8:26.,Trevor Responds to Criticism from the French Ambassador - Between The Scenes | The Daily Show,https://www.youtube.com/watch?v=COD9hcTpGWQ,The Daily Show with Trevor Noah,"3,108,312"
51,14:50.,NEVER STEAL DRIFTS GOLDEN SCAR!! * SEASON 5 *Fortnite Short Film,https://www.youtube.com/watch?v=CboJMlgfyMA,Little Lizard - Fortnite,"1,528,383"
52,9:25.,Back from brain surgery,https://www.youtube.com/watch?v=-INz4XVeyJ4,Simone Giertz,"2,027,033"
53,1:07.,Clash Royale: Introducing Royal Recruits! (New Card!),https://www.youtube.com/watch?v=SDaOmwaYDHw,Clash Royale,"7,498,888"
54,2:31.,Bohemian Rhapsody | Official Trailer [HD] | 20th Century FOX,https://www.youtube.com/watch?v=mP0VHJYFOAU,20th Century Fox,"8,257,069"
55,16:58.,The Net Gun | Overtime Ep. 4 | Dude Perfect,https://www.youtube.com/watch?v=RohJfM-VFS0,Dude Perfect,"9,802,415"
56,18:46.,I Let My Dogs Walk Me For A Day,https://www.youtube.com/watch?v=ew1JYegKF7s,JennaMarbles,"2,697,977"
57,3:32.,Ciara - Level Up,https://www.youtube.com/watch?v=Dh-ULbQmmF8,Ciara,"6,082,973"
58,10:59.,"Your Wonderful, Beautiful YIAY OUTROS (YIAY #430)",https://www.youtube.com/watch?v=j8BfPkcnE2A,jacksfilms,"1,859,473"
59,10:20.,"Dunkin Donuts 10,000(+) Calorie Challenge",https://www.youtube.com/watch?v=5E40mf0MNb0,Matt Stonie,"2,007,335"
60,3:11.,Imagine Dragons - Natural (Audio),https://www.youtube.com/watch?v=9BPfyhhv7-c,ImagineDragons,"8,610,090"
61,15:11.,Everything Wrong With Mamma Mia In 15 Minutes Or Less,https://www.youtube.com/watch?v=Ywdj_01Jrdk,CinemaSins,"1,034,169"
62,2:30.,Rooster Teeth Animated Adventures - Thank God It's Food Poisoning,https://www.youtube.com/watch?v=VzHF65rKR6E,Rooster Teeth,"755,557"
63,2:47.,BOY ERASED – Official Trailer [HD] – In Theaters November,https://www.youtube.com/watch?v=-B71eyB_Onw,Focus Features,"5,446,455"
64,12:50.,Gator Ate My Camera!,https://www.youtube.com/watch?v=eSKFXcMdFXI,Brave Wilderness,"883,081"
65,4:24.,MUSE - Something Human [Official Music Video],https://www.youtube.com/watch?v=azAEHCQgcUI,Muse,"1,942,955"
66,2:03.,Ed Sheeran - 'Songwriter' [Official Trailer],https://www.youtube.com/watch?v=FNa1In1D1xQ,Ed Sheeran,"2,280,758"
67,6:31.,EVERY FACEBOOK EVER,https://www.youtube.com/watch?v=dMpkBXQVBsw,Smosh,"1,594,465"
68,19:04.,Unboxing a SEALED iBook G3 with MKBHD!,https://www.youtube.com/watch?v=8F1xmbYucec,iJustine,"1,957,975"
